url,equipo,valor_mercado,ataque,tecnica,velocidad,defensa,creatividad,liga,partidos,valoracion_media
https://www.sofascore.com/football/player/yvan-dibango/1103553,FC Kryvbas Kryvyi Rih,1.4M €,39,56,39,50,46,Ukrainian Premier League,18 Appearances,6.84
https://www.sofascore.com/football/player/aron-van-lare/966534,NAC Breda,24K €,,,,,,Eredivisie,,
https://www.sofascore.com/football/player/dennis-cirkin/1014987,Sunderland,5.6M €,40,41,47,68,41,Championship,39 Appearances,7.01
https://www.sofascore.com/football/player/gergo-holdampf/311540,Diósgyőri VTK,315K €,43,41,39,46,44,NB I,28 Appearances,6.63
https://www.sofascore.com/football/player/bojan-sankovic/283739,Zalaegerszegi TE,305K €,43,46,49,63,44,NB I,30 Appearances,6.90
https://www.sofascore.com/football/player/victor-okoh-boniface/978521,Bayer 04 Leverkusen,44M €,79,62,47,21,57,Bundesliga,18 Appearances,6.89
https://www.sofascore.com/football/player/machado-tiago/1494437,Boavista,110K €,,,,,,Liga Portugal Betclic,10 Appearances,6.56
https://www.sofascore.com/football/player/norbert-balogh/576324,DAC 1904,97K €,,,,,,Niké Liga,,
https://www.sofascore.com/football/player/lovro-majer/841947,VfL Wolfsburg,18.2M €,67,64,44,36,68,Bundesliga,9 Appearances,7.19
https://www.sofascore.com/football/player/sousa-afonso/855672,Lech Poznań,3.7M €,60,56,46,39,51,Ekstraklasa,31 Appearances,7.43
https://www.sofascore.com/football/player/maksym-zaderaka/547474,FC Kryvbas Kryvyi Rih,825K €,53,69,27,35,50,Ukrainian Premier League,22 Appearances,6.90
https://www.sofascore.com/football/player/diop-edan/1390575,AS Monaco,1.4M €,,,,,,Ligue 1,,
https://www.sofascore.com/football/player/oliwier-olewinski/1927786,Legia Warszawa,47K €,,,,,,Ekstraklasa,,
https://www.sofascore.com/football/player/oleksandr-dykhtiaruk/1648343,Inhulets Petrove,,35,45,46,54,41,Ukrainian Premier League,14 Appearances,6.80
https://www.sofascore.com/football/player/sander-van-de-streek/220155,Antalyaspor,1M €,53,49,42,38,58,Trendyol Süper Lig,31 Appearances,6.81
https://www.sofascore.com/football/player/roland-galcik/960045,FK Železiarne Podbrezová,360K €,65,52,46,31,50,Niké Liga,24 Appearances,6.98
https://www.sofascore.com/football/player/dylan-mbayo/923968,PEC Zwolle,1.9M €,57,50,29,31,54,Eredivisie,33 Appearances,6.89
https://www.sofascore.com/football/player/jovanny-bolivar/974109,Kolos Kovalivka,620K €,58,54,45,32,40,Ukrainian Premier League,20 Appearances,6.78
